UUID;OBJEKTART;OBJEKTKLASSE_TLM;KUNSTBAUTE;NAME_UUID;NAME;STATUS;SPRACHCODE;NAMEN_TYP;NAMENGRUPPE_UUID;E;N;Z
{E6CE8ACE-5408-4AE7-B657-EEC38E9924BE};Strasse;TLM_STRASSE;Bruecke;{B4FA8711-BCBA-4520-84BD-CCECF418DC47};Punt Desch;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2738322;1191785;1761
{4F49882C-8ED3-43E8-9774-8D5E871BA96B};Strasse;TLM_STRASSE;Bruecke;{EDB3AF01-7CFF-4666-A7FA-5F9865543516};Fischchrattenbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2679503;1214754;426
{28FA343E-A079-4D3A-A1C9-614E435C4E8B};Strasse;TLM_STRASSE;Bruecke;{EDB3AF01-7CFF-4666-A7FA-5F9865543516};Fischchrattenbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2679502;1214752;426
{98F9979C-33A5-4CDA-BBA8-32A3AF4DC84A};Strasse;TLM_STRASSE;Bruecke;{0CB47688-3599-475F-B7AD-BB1ACC734599};Peak Walk;offiziell;Mehrsprachig;Einfacher Name;;2581863;1130645;2965
{8553BDA4-3732-43B8-80B0-221AA35A001E};Strasse;TLM_STRASSE;Bruecke;{C7317308-49B9-45A3-BD9A-BC8AF22B4A37};Linthbrugg;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2724243;1210673;477
{7B6BDB9C-2DD3-4293-A155-9F2CEFE36E74};Strasse;TLM_STRASSE;Bruecke;{2111F8C7-9106-43B4-B35B-E321F71334D4};Pont sur la Baye de Clarens;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2558354;1144774;491
{58AF5BF3-608A-4B3F-94C3-4A6F0F7551BA};Strasse;TLM_STRASSE;Bruecke;{2111F8C7-9106-43B4-B35B-E321F71334D4};Pont sur la Baye de Clarens;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2558414;1144742;493
{50F3E55F-FBD4-47BD-BF2C-18AD8FA29871};Strasse;TLM_STRASSE;Bruecke;{2111F8C7-9106-43B4-B35B-E321F71334D4};Pont sur la Baye de Clarens;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2558412;1144739;493
{96713B5C-72DC-4583-A8D1-074C1B355363};Strasse;TLM_STRASSE;Tunnel;{245C0274-59B1-43E4-8CF2-1DCFFD85E732};Tranchée couverte de St-Blaise;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2565950;1206871;426
{00613F57-5015-4F03-B95F-507E158D4AD6};Strasse;TLM_STRASSE;Tunnel;{245C0274-59B1-43E4-8CF2-1DCFFD85E732};Tranchée couverte de St-Blaise;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2565951;1206867;427
{2A2FC885-4C8C-4C26-B4DE-4D869314A297};Strasse;TLM_STRASSE;Bruecke;{12E9D6C4-F84D-4256-AD1F-E20F53B4E91B};Kosthofen-Viadukt;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2592669;1210943;508
{A87D2531-55EA-4181-AA55-DF3472D83573};Strasse;TLM_STRASSE;Bruecke;{12E9D6C4-F84D-4256-AD1F-E20F53B4E91B};Kosthofen-Viadukt;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2592668;1210940;508
{D7C113C4-6600-4662-B002-56923FC4393C};Strasse;TLM_STRASSE;Bruecke;{4E1F9917-232E-42FD-910B-98B59DECF0CA};Schluchtwegbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2682814;1201595;730
{9A10944D-422F-4061-A177-9059B11F6EB3};Strasse;TLM_STRASSE;Tunnel;{7DACF43B-914A-4039-803A-A8011648B4DF};Tunnel de Confignon;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2495531;1114911;405
{2EDF90DD-5DFE-449F-A1AB-B695BA0261F0};Strasse;TLM_STRASSE;Tunnel;{7DACF43B-914A-4039-803A-A8011648B4DF};Tunnel de Confignon;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2495553;1114925;405
{C1FC957C-29C1-42BD-8568-3CE87D438DFA};Strasse;TLM_STRASSE;Tunnel;{A860A17B-34EE-4769-A294-EA2A1BD8D264};Tunnel 8;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2585102;1226115;602
{F17DA0C0-51C9-46DC-A700-2715E3F9D519};Strasse;TLM_STRASSE;Tunnel;{84FC622A-C025-4C9B-8636-17EDD92369D0};Eggraintunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2674466;1246407;477
{27B72870-D7CE-4F42-9089-704AAE72D0C2};Strasse;TLM_STRASSE;Tunnel;{84FC622A-C025-4C9B-8636-17EDD92369D0};Eggraintunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2674449;1246459;476
{4674D714-B4F6-4FEA-A219-99F35B8769FE};Strasse;TLM_STRASSE;Bruecke;{4E4296C4-1AB8-45EA-A91D-2FC25E12CF34};Meggeribrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2646376;1124392;1834
{96CE139B-039C-4969-8EA9-8DBC86823EC0};Strasse;TLM_STRASSE;Bruecke;{56184014-D096-4508-B8CB-CED5CA5CEA98};Dornibrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2689919;1201090;454
{65111B9B-6A32-419F-958A-A4E937970866};Strasse;TLM_STRASSE;Tunnel;{E4FB586D-3757-413E-8087-9289AEEE7C4A};Lütschinentunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2634592;1170273;558
{F029B4F2-4401-4DB4-BA87-86CB7652492F};Strasse;TLM_STRASSE;Bruecke;{C882249A-30A5-4BDC-A197-4F0A4B966AA8};Ponte Val di Can;offiziell;Italienisch inkl. Lokalsprachen;Einfacher Name;;2734560;1146414;1625
{9E1394AE-28E7-43C1-96D7-7374C6FC2B78};Strasse;TLM_STRASSE;Bruecke;{0BBCCF7E-BF9C-46F1-BB74-CB44204B6656};Passerelle des Grangettes;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2556385;1137165;379
{BEEDD5EE-59E9-4186-8AF7-96C98ACE5F0E};Strasse;TLM_STRASSE;Bruecke;{8C3065C3-9E75-4442-BA85-37E4F228311A};Tschingelbrigg;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2666087;1165978;1137
{9D10499D-7E49-4D03-9DFE-1191E0213BB7};Strasse;TLM_STRASSE;Gedeckte Bruecke;{2D705980-2D69-4F72-9F9E-840259DB9392};Sodbachbrügg;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2590933;1186006;653
{716CC5A3-C587-41D4-BDBF-4996AF564A7D};Strasse;TLM_STRASSE;Bruecke;{28522FEC-46A2-4F92-95B8-F21B2C7C6DF5};Hängebrüggli Sense;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2593877;1190038;587
{5FE09919-8D05-4502-92A6-6192B8868679};Strasse;TLM_STRASSE;Bruecke;{D4EC2ACA-AECB-41B5-AB70-1D0F60D06ECA};Hinterrheinbrücke Crusch;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2753352;1167536;922
